Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,John Baldessari,"The United States, 1931–2020","John Baldessari was a conceptual artist known for his work in painting, printmaking and photography. He was a pivotal figure in the conceptual art movement, known for his use of image and text juxtapositions. Baldessari's work that resonates most with me is when he  combines photography and painting, because it blurs the boundaries between visual mediums, inviting viewers to question the conventions of art-making and the relationship between image and text. This fusion underscores his exploration of language, communication and the very essence of art. It challenges traditional modes of representation,  inviting a deeper contemplation of the interconnectedness of visual and linguistic forms.",/Images/BaldessariJohn/umbrella.png,,"Umbrella (Orange): With Figure and Ball (Blue, Green), 2004",,,,
left,Henri Cartier-Bresson,"France, 1908–2004","Henri Cartier-Bresson was a renowned French photographer widely regarded as one of the pioneers of photojournalism and street photography. I particularly enjoy his spontaneous approach to capturing moments of everyday life, which often portray a  decisive moment. This technique leaves the viewer on a cliffhanger, wanting to find out more. His photographs serve as windows into the soul of humanity, capturing fleeting moments of beauty, joy and introspection that resonate deeply with my own experiences and emotions.",/Images/Cartier-BressonHenri/bankofficer.png,,"Bank officer and his secretary, 1960",,,,
left,Tracey Emin,"The United Kingdom, 1963","Tracey Emin is a  contemporary artist known for her provocative and autobiographical works across various mediums, including installation, sculpture, painting, drawing  and video. She gained prominence as part of the Young British Artists (YBAs) movement in the 1990s and  became particularly well-known for her candid and confessional artworks, which often explore themes of sexuality, identity, trauma and vulnerability. Tracey Emin's art resonates with me due to its deeply personal nature. It offers a unique opportunity to forge an intimate connection with the artist, providing an authentic glimpse into her life and experiences.",/Images/EminTracey/MyBed1998.png,,"My Bed, 1998",,,,
left,Tony Garifalakis,"Australia, 1964–","Tony Garifalakis is an artist known for his provocative and thought-provoking work which explores themes of identity, power and societal norms. Garifalakis employs a variety of mediums including painting, sculpture, and collage to create visually arresting artworks that challenge viewers' perceptions and assumptions. His work is interesting to me because he incorporates the idea of a mask as a central motif, symbolising the layers of identity we construct and how we present ourselves to the world. By obscuring faces and altering found images, Garifalakis prompts viewers to question the authenticity of the self and the societal pressures to conform to certain norms. ",/Images/GarifalakisTony/PleasureReality2.png,,"Bloodline, 2014",,,,
left,Ren Hang,"China, 1987–2017","
Ren Hang was a photographer known for his provocative and highly expressive nude portraits. He gained international recognition for his work, which often pushed the boundaries of traditional Chinese cultural norms and censorship laws. I first came across his work in my CATS class and was immediately drawn to his surrealist compositions and intimate portrayals of the human body, exploring  themes of sexuality and identity. His fearless approach to challenging societal taboos and his ability to capture raw emotions in his subjects is an aspect of his work that I deeply respect.",/Images/HangRen/Untitled2015.jpg,,"Untitled, 2015",,,,
left,Ania Klosek,Poland,"Ania Klosek is a Warsaw-based photographer known for her captivating street photography. Her work has been recognised with national and international awards and has been featured in numerous solo and group exhibitions, including prestigious events like Street Photography Now, Leica Street Photo, EASTREET, and the Miami Street Photography Festival. Her body of work is captivating because it is very dynamic  and often depicts moments that would go unnoticed.",/Images/KlosekAnia/middlefinger.png,,Untitled ,,,,
left,Yayoi Kusama,"Japan, 1929–","Yayoi Kusama is a Japanese contemporary artist known for her innovative work across various mediums, including painting, sculpture, installation and performance art. Her iconic use of polka dots and exploration of themes like infinity and self have made her a significant figure in the art world. I first discovered her work at the Louis Vuitton Foundation when visiting Paris a few years ago, and was immediately drawn in by it. I  found it appealing because it challenges traditional notions of art and invites viewers to engage with concepts of self-reflection  in unique and immersive ways. ",/Images/KusamaYayoi/dots.png,,Obliteration Room,,,,
left,Martin Parr,"The United Kingdom, 1952–","Martin Parr is a  documentary photographer, known for his unique and often satirical approach to capturing everyday life and societal norms. Parr's work  touches on themes such as consumerism, tourism, and social class in contemporary society. Looking at his photographs, it often seems that Parr is not part of the world that he is photographing but rather a bystander. This is an idea I want to touch on in future projects by exploring  what my role is in society and how I can contribute to it.",/Images/ParrMartin/OrdinaryPeople.jpg,,"New Brighton, 1985",,,,
left,Man Ray,"The United States, 1890–1976","Man Ray, born Emmanuel Radnitzky, was a visual artist who made significant contributions to both the Dada and Surrealist movements. He was a painter, photographer, and filmmaker, known for his avant-garde and experimental work. 
I find Man Ray is an interesting artist to look at because his work challenges traditional boundaries, inviting viewers into a world of surrealism and imagination. His innovative photography techniques and multidisciplinary approach reflect a restless creativity that continues to inspire me to explore new artistic processes.",/Images/RayMan/Champs.png,,"Untitled (plate 1) from the album Champs Délicieux, 1922",,,,
left,John Warwicker,"The United Kingdom, 1955–","John Warwicker is a  graphic designer known for his innovative and experimental approach to his  work. He co-founded the design collective Tomato in 1991, which gained international recognition for its  work in graphic design, multimedia and art. John's work interests me particularly for its use of typography which goes beyond mere aesthetics, serving as a means of expression, inviting viewers to engage with the words on multiple levels. I also appreciate both his use of analogue techniques to craft the final artifact and his keen observation of the surrounding world for inspiration, drawing from elements such as light and shadow.",/Images/WarwickerJohn/dubnobasswithmyheadman.png,,"
dubnobasswithmyheadman, 1995",,,, 
